Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500028213;Добавление поля Заводской номер в процес;В разработке ЧТЗ;OFERTA;25.03.2021;31.12.2021;07.09.2021;15.06.2022;281
5500028214;Система управления деятельностью на плат;В работе;SUD_BLPS;25.03.2021;16.06.2021;05.11.2021;27.01.2022;83
5500028215;"Создание ВО ""Компенсация мобильной связи";Закрыт;SAP_HR;25.03.2021;-;;;-
5500028216;Обеспечение передачи данных между систем;Закрыт;ESON_SHD;25.03.2021;-;;;-
5500028217;Установка стека SPS 15 в системе SAP ERP;В ожидании акта от подрядчика;SAPFIR;26.03.2021;27.09.2021;16.08.2021;27.09.2021;42
5500028218;Установка стека SPS 15 в системе SAP ERP;В ожидании акта от подрядчика;OFERTA;26.03.2021;12.10.2021;15.08.2021;12.10.2021;57
5500028219;Интеграция FW Recruiter с WebTutor;В разработке ЧТЗ;WEB_TUTOR;29.03.2021;25.03.2022;26.08.2021;22.08.2022;361
5500028220;Обновление системы;Закрыт;IB_SAP;29.03.2021;-;;;-
5500028221;Автоматический вывод из статуса  «Ожидае;Закрыт;OFERTA;26.03.2021;-;;;-
5500028222;Комментарий Архитектора SAP для бланка З;В работе;NSI_ESST;26.03.2021;26.08.2022;28.09.2021;28.02.2023;518
5500028223;Перенос кнопки «Прикрепление документов;В работе;OFERTA;26.03.2021;15.02.2022;27.08.2021;19.07.2022;326
5500028225;Реализация СК-03.06.06 версия 1.0 в сист;В работе;OFERTA;26.03.2021;26.01.2022;27.08.2021;29.06.2022;306
5500028226;Развитие функциональности/обновление реш;Закрыт;RESHKONKOM;26.03.2021;-;;;-
5500028227;Создание отчетности на базе Qlik «Операт;Отклонен;BI_BRD;26.03.2021;-;;;-
5500028228;Доработка панели Бюджет решения АРМ ДИТА;Закрыт;ARM_DITAT;26.03.2021;-;;;-
5500028230;Доработка панели Техническая Политика;В согласовании.Менеджер процесса;ARM_DITAT;29.03.2021;19.08.2021;22.12.2021;12.05.2022;141
5500028231;Доработка панели Проектная деятельность;В согласовании.Менеджер процесса;ARM_DITAT;29.03.2021;19.08.2021;22.12.2021;12.05.2022;141
5500028232;ШУЗ) Доработка логики сохранения заказа;Отклонен;OFERTA;29.03.2021;-;;;-
5500028233;Модернизация функций в СЭД НМД;Закрыт;SED_NMD;29.03.2021;-;;;-
5500028235;Доработка модуля экспертизы СРЗ для разн;Закрыт;SRZ;29.03.2021;-;;;-
5500028236;Пропускать шаг Владельца в заявках на из;Отклонен;SUID;29.03.2021;-;;;-
5500028237;Доработка транзакции ZNPORDER (Ведение р;Закрыт;SBYT;29.03.2021;-;;;-
